freq,unit,na_item,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,CP_MEUR,B1GQ,LU	37178.9 	38128.6 	36976.5 	40177.8 	43164.6 	44112.1 	46499.6 	49824.5 	52065.8 	54867.2 	56814.2 	60053.1 	63516.3 	64143.1 
A,CP_MEUR,B1GQ,LV	22755.2 	24464.5 	18855.0 	17872.8 	20310.5 	22219.0 	22966.3 	23613.9 	24560.9 	25360.3 	26962.3 	29142.5 	30420.9 	29334.0 
A,CP_MEUR,B1GQ,ME	2689.1 	3103.3 	2993.9 	3125.1 	3264.8 	3181.5 	3362.5 	3457.9 	3654.5 	3954.2 	4299.1 	4663.1 	4950.7 	4193.2 p
A,CP_MEUR,B1GQ,MK	6094.5 	6772.1 	6766.5 	7108.3 	7544.2 	7584.8 	8149.6 	8562.0 	9072.3 	9656.5 	10038.3 	10744.0 	11209.1 p	10766.3 e
A,CP_MEUR,B1GQ,MT	5790.3 	6206.0 	6259.6 	6815.8 	6924.6 	7364.5 	7944.3 	8751.1 	9996.7 	10589.2 	11703.5 	12587.4 	13592.2 	12823.8 
A,CP_MEUR,B1GQ,NL	619170.0 	647198.0 	624842.0 	639187.0 	650359.0 	652966.0 	660463.0 	671560.0 	690008.0 	708337.0 	738146.0 	773987.0 	810247.0 p	798674.0 p
A,CP_MEUR,B1GQ,NO	293167.0 	317021.5 	278246.6 	323760.9 	358339.5 	396523.5 	393408.7 	375947.3 	347632.1 	333471.3 	353316.4 	370294.3 	362242.6 	318335.7 
A,CP_MEUR,B1GQ,PL	313848.3 	366040.5 	317040.6 	362190.9 	379860.0 	387947.0 	392310.7 	408967.8 	430465.8 	427091.8 	467426.6 	497842.3 	533599.9 	523038.3 p
A,CP_MEUR,B1GQ,PT	175483.4 	179102.8 	175416.4 	179610.8 	176096.2 	168295.6 	170492.3 	173053.7 	179713.2 	186489.8 	195947.2 	205184.1 	213949.3 p	202465.7 e
A,CP_MEUR,B1GQ,RO	127632.0 	146590.6 	125213.9 	125472.3 	131841.6 	132711.2 	143690.4 	150708.6 	160149.8 	170063.4 	187772.7 	204496.9 	222997.6 p	218165.2 p
A,CP_MEUR,B1GQ,RS	31557.9 	35712.5 	32486.2 	31545.8 	35431.7 	33679.3 	36426.7 	35467.5 	35740.2 	36779.3 	39235.3 	42892.2 	45970.4 	46467.5 p
A,CP_MEUR,B1GQ,SE	358945.1 	354881.1 	314637.5 	374695.2 	412844.7 	430037.1 	441850.7 	438833.9 	455494.7 	466266.5 	480025.5 	470673.1 	474550.5 	472260.1 
A,CP_MEUR,B1GQ,SI	35073.5 	37925.7 	36254.9 	36363.9 	37058.6 	36253.3 	36454.3 	37634.3 	38852.6 	40443.2 	43009.1 	45862.6 	48392.6 	46297.2 
A,CP_MEUR,B1GQ,SK	56339.3 	66098.1 	64095.5 	68188.7 	71304.5 	73575.8 	74448.8 	76269.8 	79767.6 	81051.5 	84488.6 	89356.7 	93900.5 	91555.3 
A,CP_MEUR,B1GQ,TR	496901.4 	525994.8 	465245.5 	584855.7 	600961.4 	683587.3 	719726.6 	707000.8 	777042.3 	785618.9 	760497.1 	658464.1 	679510.4 	626703.6 p
A,CP_MEUR,B1GQ,UK	2259235.2 	1995854.5 	1738066.5 	1872175.5 	1912869.3 	2111028.9 	2096338.0 	2311080.2 	2644716.5 	2434119.2 	2359789.9 	2420897.2 	2526615.2 	: 
A,CP_MEUR,B1GQ,XK	: 	3882.8 	4069.6 	4402.0 	4814.5 	5058.8 	5326.6 	5567.5 	5807.0 	6070.1 	6413.8 	6725.9 	7103.8 	6804.2 p
